,,,,,,,,,,,,,,,,,,,,,P,R
The Mummies of Urumchi,Title: The Mummies of Urumchi ** Author: E. J. W. Barber ** Year: 1999 ** Publisher: W. W. Norton &amp; Company,Title: Secret ** Author: Mirika Mayo Cornelius ** Year: 2002 ** Publisher: Akirim Press,Title: To Bury the Dead ** Author: Craig Spector ** Year: 2000 ** Publisher: HarperTorch,Title: Born Confused ** Author: Tanuja Desai Hidier ** Year: 2003 ** Publisher: Push,Title: The Italian ** Author: Elaine Coffman ** Year: 2002 ** Publisher: Mira,Title: The Legend That Was Earth ** Author: James P. Hogan ** Year: 2001 ** Publisher: Baen,Title: Western Civilizations ** Author: Edward McNall Burns ** Year: 1988 ** Publisher: W.W. Norton &amp; Company Ltd,Title: Yuwipi: Vision and Experience in Oglala Ritual ** Author: William K. Powers ** Year: 1984 ** Publisher: University of Nebraska Press,Title: LA Mujer Habitada ** Author: Giaconda Belli ** Year: 2003 ** Publisher: Planeta Pub Corp,Title: The God of Mirrors ** Author: Robert Reilly ** Year: 1986 ** Publisher: Atlantic Monthly Press,Title: The Mummy or Ramses the Damned ** Author: Anne Rice ** Year: 1991 ** Publisher: Ballantine Books,Title: Crystal Cave ** Author: Mary Stewart ** Year: 1982 ** Publisher: Fawcett Books,Title: Quotations from Women on Life ** Author: Rosalie Maggio ** Year: 1997 ** Publisher: Prentice Hall Art,Title: Unnatural Exposure ** Author: Cornwell Patricia ** Year: 0 ** Publisher: Little Brown Company,Title: If Only It Were True ** Author: Marc Levy ** Year: 2000 ** Publisher: Atria,Title: Una casa en Irlanda ** Author: Maeve Binchy ** Year: 1999 ** Publisher: Salamandra,Title: La casa pierde ** Author: Juan Villoro ** Year: 1999 ** Publisher: Alfaguara,Title: A polar bear called Pingo ** Author: Ilona Koidahl ** Year: 1974 ** Publisher: Childrens Press,Title: El Hombre Anumerico ** Author: John Allen Paulos ** Year: 2002 ** Publisher: Tusquets,Title: The First Time ** Author: Joy Fielding ** Year: 2000 ** Publisher: Atria,1,1
Timeline,Title: Timeline ** Author: MICHAEL CRICHTON ** Year: 2000 ** Publisher: Ballantine Books,Title: Remains of the Day ** Author: Kazuo Ishiguro ** Year: 0 ** Publisher: Faber Faber Inc,"Title: Executioner's Current: Thomas Edison, George Westinghouse, and the Invention of the Electric Chair ** Author: Richard Moran ** Year: 2002 ** Publisher: Alfred A. Knopf",Title: A Brief History of Time : The Updated and Expanded Tenth Anniversary Edition ** Author: STEPHEN HAWKING ** Year: 1998 ** Publisher: Bantam,Title: History of News: From the Drum to the Satellite ** Author: Mitchell Stephens ** Year: 1989 ** Publisher: Penguin USA,Title: Pastwatch: The Redemption of Christopher Columbus ** Author: Orson Scott Card ** Year: 1996 ** Publisher: St Martins Pr,Title: The Next Century ** Author: David Halberstam ** Year: 1991 ** Publisher: Harpercollins,Title: Battlefield Earth: A Saga of the Year 3000 ** Author: L. Ron Hubbard ** Year: 1991 ** Publisher: Bridge Publications,Title: Sooner or Later ** Author: Elizabeth Adler ** Year: 1998 ** Publisher: Dell Publishing Company,Title: The Family Tree ** Author: Sheri S. Tepper ** Year: 1998 ** Publisher: Eos,Title: The First Immortal ** Author: James L. Halperin ** Year: 1998 ** Publisher: Del Rey Books,Title: Point of Origin ** Author: Patricia Daniels Cornwell ** Year: 1999 ** Publisher: Berkley Publishing Group,Title: Time and Chance ** Author: Sharon Kay Penman ** Year: 2002 ** Publisher: Putnam Publishing Group,Title: Deadlines and Datelines ** Author: Dan Rather ** Year: 2000 ** Publisher: Perennial,Title: The Time Machine ** Author: H. G. Wells ** Year: 1995 ** Publisher: Tor Books,"Title: Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History ** Author: Eric Marcus ** Year: 1992 ** Publisher: Harpercollins",Title: Childhood's End ** Author: Arthur C. Clarke ** Year: 1987 ** Publisher: Del Rey Books,Title: Point of Origin ** Author: Patricia Daniels Cornwell ** Year: 1998 ** Publisher: Putnam Pub Group,Title: Adventures of Huckleberry Finn ** Author: Mark Twain ** Year: 1992 ** Publisher: Globe Fearon,Title: Time Wars ** Author: Poul Anderson ** Year: 1986 ** Publisher: Tor Books,1,1
Jane Doe,Title: The First Time ** Author: Joy Fielding ** Year: 2001 ** Publisher: Pocket Star,Title: The Wasp Factory ** Author: Iain Banks ** Year: 0 ** Publisher: Abacus,Title: The Syndrome ** Author: John Case ** Year: 2002 ** Publisher: Fawcett Books,Title: The Next Accident ** Author: LISA GARDNER ** Year: 2002 ** Publisher: Bantam,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: The Distance Between ** Author: Eliza Osborne ** Year: 2000 ** Publisher: Soho Press,Title: The Space Merchants ** Author: Frederik Pohl ** Year: 1987 ** Publisher: St Martins Pr,Title: Death in Kenya ** Author: Mary Margaret Kaye ** Year: 1983 ** Publisher: St Martins Pr,Title: The First Time ** Author: Joy Fielding ** Year: 2000 ** Publisher: Atria,Title: Flight ** Author: Jan Burke ** Year: 2002 ** Publisher: Pocket,Title: Through Alien Eyes ** Author: Amy Thomson ** Year: 2000 ** Publisher: Ace Books,Title: Well Connected ** Author: Dianna Booher ** Year: 2000 ** Publisher: W Publishing Group,Title: Blink ** Author: Ted Dekker ** Year: 2003 ** Publisher: WestBow Press,Title: Born Confused ** Author: Tanuja Desai Hidier ** Year: 2003 ** Publisher: Push,Title: Breaking Clean ** Author: JUDY BLUNT ** Year: 2002 ** Publisher: Knopf,Title: Unnatural Exposure ** Author: Cornwell Patricia ** Year: 0 ** Publisher: Little Brown Company,Title: The Countess ** Author: Catherine Coulter ** Year: 1999 ** Publisher: Signet Book,Title: The Heart Reader ** Author: Anonymous ** Year: 2000 ** Publisher: WestBow Press,Title: Lying Awake ** Author: Mark Salzman ** Year: 2001 ** Publisher: Vintage Books USA,Title: The Street Lawyer ** Author: JOHN GRISHAM ** Year: 1999 ** Publisher: Dell,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Female Intelligence,Title: The First Time ** Author: Joy Fielding ** Year: 2001 ** Publisher: Pocket Star,Title: The Wasp Factory ** Author: Iain Banks ** Year: 0 ** Publisher: Abacus,Title: The First Time ** Author: Joy Fielding ** Year: 2000 ** Publisher: Atria,Title: Female Intelligence ** Author: Jane Heller ** Year: 2001 ** Publisher: St. Martin's Press,Title: Born Confused ** Author: Tanuja Desai Hidier ** Year: 2003 ** Publisher: Push,Title: Talk Before Sleep ** Author: Elizabeth Berg ** Year: 1997 ** Publisher: Dell,Title: Shipping News ** Author: E Annie Proulx ** Year: 0 ** Publisher: Fourth Estate,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: Flight ** Author: Jan Burke ** Year: 2002 ** Publisher: Pocket,Title: The Italian ** Author: Elaine Coffman ** Year: 2002 ** Publisher: Mira,Title: Unwanted Company ** Author: Barbara Seranella ** Year: 2001 ** Publisher: Avon Books,Title: Death in Kenya ** Author: Mary Margaret Kaye ** Year: 1983 ** Publisher: St Martins Pr,Title: Viaduct Child ** Author: Patrick Wood ** Year: 2003 ** Publisher: Scholastic Point,Title: Fear of Flying ** Author: Erica Jong ** Year: 2003 ** Publisher: New American Library,Title: Well Connected ** Author: Dianna Booher ** Year: 2000 ** Publisher: W Publishing Group,Title: The Syndrome ** Author: John Case ** Year: 2002 ** Publisher: Fawcett Books,Title: The Analyst ** Author: John Katzenbach ** Year: 2003 ** Publisher: Ballantine Books,Title: You Be the Jury #02 ** Author: Marvin Miller ** Year: 1989 ** Publisher: Scholastic,Title: The Lady in Question ** Author: Victoria Alexander ** Year: 2003 ** Publisher: Avon,Title: Women Prefer Women ** Author: Elula Perrin ** Year: 1980 ** Publisher: Bantam Books,1,1
The Prince,Title: The First Time ** Author: Joy Fielding ** Year: 2001 ** Publisher: Pocket Star,Title: The Wasp Factory ** Author: Iain Banks ** Year: 0 ** Publisher: Abacus,Title: The First Time ** Author: Joy Fielding ** Year: 2000 ** Publisher: Atria,Title: Born Confused ** Author: Tanuja Desai Hidier ** Year: 2003 ** Publisher: Push,Title: The Countess ** Author: Catherine Coulter ** Year: 1999 ** Publisher: Signet Book,Title: The Syndrome ** Author: John Case ** Year: 2002 ** Publisher: Fawcett Books,Title: The Vampire Princess ** Author: Michael Romkey ** Year: 1996 ** Publisher: Fawcett Books,Title: Lying Awake ** Author: Mark Salzman ** Year: 2001 ** Publisher: Vintage Books USA,Title: The Homing ** Author: John Saul ** Year: 2002 ** Publisher: Ballantine Books,Title: The Distance Between ** Author: Eliza Osborne ** Year: 2000 ** Publisher: Soho Press,Title: The Prince of Tides ** Author: Pat Conroy ** Year: 1987 ** Publisher: Bantam Books,Title: The Kitchen Boy ** Author: Robert Alexander ** Year: 2003 ** Publisher: Viking Books,Title: Well Connected ** Author: Dianna Booher ** Year: 2000 ** Publisher: W Publishing Group,Title: Flight ** Author: Jan Burke ** Year: 2002 ** Publisher: Pocket,Title: The Lady in Question ** Author: Victoria Alexander ** Year: 2003 ** Publisher: Avon,Title: Charlotte Gray ** Author: Sebastian Faulks ** Year: 2000 ** Publisher: Vintage Books USA,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: The Patient ** Author: Michael Palmer ** Year: 2001 ** Publisher: Bantam Books,Title: The Mighty ** Author: Rodman Philbrick ** Year: 1998 ** Publisher: Scholastic,Title: The Patient ** Author: Michael Palmer ** Year: 2000 ** Publisher: Bantam Books,0,0
,,,,,,,,,,,,,,,,,,,,,,
1986,Title: The Space Merchants ** Author: Frederik Pohl ** Year: 1987 ** Publisher: St Martins Pr,Title: Hannibal ** Author: Thomas Harris ** Year: 1999 ** Publisher: Del Sol Press,Title: Das Leben der Thiere ** Author: Janosch ** Year: 1991 ** Publisher: Beltz,Title: From the Corner of His Eye ** Author: Dean Koontz ** Year: 2001 ** Publisher: Bantam Books,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: The Mighty ** Author: Rodman Philbrick ** Year: 1998 ** Publisher: Scholastic,Title: The Program ** Author: Stephen White ** Year: 2002 ** Publisher: Dell Publishing Company,Title: Flight ** Author: Jan Burke ** Year: 2002 ** Publisher: Pocket,Title: You Be the Jury #02 ** Author: Marvin Miller ** Year: 1989 ** Publisher: Scholastic,Title: The Street Lawyer ** Author: JOHN GRISHAM ** Year: 1999 ** Publisher: Dell,Title: Skull Session ** Author: Daniel Hecht ** Year: 1998 ** Publisher: Signet Book,Title: The First Time ** Author: Joy Fielding ** Year: 2001 ** Publisher: Pocket Star,Title: The Smoke Jumper ** Author: Nicholas Evans ** Year: 2001 ** Publisher: Delacorte Press,Title: Breaking Clean ** Author: JUDY BLUNT ** Year: 2002 ** Publisher: Knopf,Title: Blink ** Author: Ted Dekker ** Year: 2003 ** Publisher: WestBow Press,Title: The Broken Hearts Club ** Author: Ethan Black ** Year: 1999 ** Publisher: Ballantine Books,Title: Kitchen ** Author: Banana Yoshimoto ** Year: 1994 ** Publisher: Washington Square Press,Title: Three ** Author: Ted Dekker ** Year: 2003 ** Publisher: WestBow Press,Title: Fight Club ** Author: Chuck Palahniuk ** Year: 1999 ** Publisher: Owl Books,Title: Lythande ** Author: Marion Zimmer Bradley ** Year: 1986 ** Publisher: Daw Books,0.05,0.014
1968,Title: The Space Merchants ** Author: Frederik Pohl ** Year: 1987 ** Publisher: St Martins Pr,Title: Blink ** Author: Ted Dekker ** Year: 2003 ** Publisher: WestBow Press,Title: Flight ** Author: Jan Burke ** Year: 2002 ** Publisher: Pocket,Title: Hannibal ** Author: Thomas Harris ** Year: 1999 ** Publisher: Del Sol Press,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: The Distance Between ** Author: Eliza Osborne ** Year: 2000 ** Publisher: Soho Press,Title: The Syndrome ** Author: John Case ** Year: 2002 ** Publisher: Fawcett Books,Title: The Street Lawyer ** Author: JOHN GRISHAM ** Year: 1999 ** Publisher: Dell,Title: The Homing ** Author: John Saul ** Year: 2002 ** Publisher: Ballantine Books,Title: The Experiment ** Author: John Darnton ** Year: 1999 ** Publisher: Penguin USA,Title: The Patient ** Author: Michael Palmer ** Year: 2000 ** Publisher: Bantam Books,Title: Das Leben der Thiere ** Author: Janosch ** Year: 1991 ** Publisher: Beltz,Title: The First Time ** Author: Joy Fielding ** Year: 2001 ** Publisher: Pocket Star,Title: From the Corner of His Eye ** Author: Dean Koontz ** Year: 2001 ** Publisher: Bantam Books,Title: Through Alien Eyes ** Author: Amy Thomson ** Year: 2000 ** Publisher: Ace Books,Title: The 37th Hour ** Author: JODI COMPTON ** Year: 2003 ** Publisher: Delacorte Press,Title: A Civil Action ** Author: JONATHAN HARR ** Year: 1996 ** Publisher: Vintage,Title: The Patient ** Author: Michael Palmer ** Year: 2001 ** Publisher: Bantam Books,Title: El Libro de Las Ilusiones ** Author: Paul Auster ** Year: 2003 ** Publisher: Anagrama,Title: Gun Monkeys ** Author: VICTOR GISCHLER ** Year: 2003 ** Publisher: Dell,0,0
